@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
201,'2017/11/01 22:00:21:073',1,1,0,0.981929,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
202,'2017/11/01 22:00:21:098',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
203,'2017/11/01 22:00:21:123',1,1,0,0.982173,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
204,'2017/11/01 22:00:21:148',1,1,0,0.981929,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
205,'2017/11/01 22:00:21:173',1,1,0,0.982173,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
206,'2017/11/01 22:00:21:204',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
207,'2017/11/01 22:00:21:236',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
208,'2017/11/01 22:00:21:255',1,1,0,0.981441,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
209,'2017/11/01 22:00:21:285',1,1,0,0.981197,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
210,'2017/11/01 22:00:21:318',1,1,0,0.981441,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
211,'2017/11/01 22:00:21:323',1,1,0,0.981441,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
212,'2017/11/01 22:00:21:354',1,1,0,0.981197,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
213,'2017/11/01 22:00:21:386',1,1,0,0.981197,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
214,'2017/11/01 22:00:21:406',1,1,0,0.981441,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
215,'2017/11/01 22:00:21:434',1,1,0,0.981197,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
216,'2017/11/01 22:00:21:458',1,1,0,0.981197,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
217,'2017/11/01 22:00:21:473',1,1,0,0.981197,0.113725,0.171924,0.412667,0.945266,0.083828,0.210086
218,'2017/11/01 22:00:21:498',1,1,0,0.981197,0.113725,0.171924,0.412667,0.945266,0.083828,0.210086
219,'2017/11/01 22:00:21:523',1,1,0,0.981685,0.113725,0.171924,0.412667,0.945266,0.083828,0.210086
220,'2017/11/01 22:00:21:548',1,1,0,0.981929,0.109804,0.171924,0.412667,0.945266,0.083828,0.210086
